annotation	j	k	intercept	slope	phi
GERP_NR	1	1	2.13327750881	2.59376460738	2.0422937378
GERP_RS	1	2	-0.873648635483	4.3539457509	0.662581421886
PhyloP	1	3	-0.262862478618	0.573091385742	0.2740688637
PhyloM	1	4	-0.359171885387	1.75583433162	0.063863105255
PhyloV	1	5	-0.376305927026	3.73007380283	1.01644975937
PhastP	1	6	-2.51968888382	3.26819793402	-1.0
PhastM	1	7	-3.4832005069	6.01180774214	-1.0
PhastV	1	8	-2.81507766061	6.25724637331	-1.0
GC	2	1	-0.227227995185	0.90564100016	0.60651486673
CpG	2	2	-0.22710484233	0.974447322119	0.496956748539
EncExp	2	3	-0.219693968774	0.762941169804	0.694206426102
EncH3K27Ac	2	4	-0.377616950749	1.54058330942	0.42294428966
EncH3K4Me1	2	5	-0.234568607935	0.869677172827	0.811944031172
EncH3K4Me3	2	6	-0.396063766585	1.62408348013	0.272783753064
EncOCCombPVal	2	7	-0.451023964012	1.82841763788	0.00839259534774
EncOCDNasePVal	2	8	-0.420907631582	1.69618301541	0.0127446740707
EncOCFairePVal	2	9	-0.47854123647	1.98441395349	0.189874302078
EncOCpolIIPVal	2	10	-0.4078129087	1.70914382959	0.233186606661
EncOCctcfPVal	2	11	-0.25375832989	1.02501570564	0.69367018974
EncOCmycPVal	2	12	-0.34357816992	1.43481631911	0.489017106743
EncOCDNaseSig	2	13	-0.459209721201	1.83646990761	0.0861171820069
EncOCFaireSig	2	14	-0.527062299872	2.14913431197	0.0713483934491
EncOCpolIISig	2	15	-0.443054787831	1.82516956891	0.132314722996
EncOCctcfSig	2	16	-0.427096003318	1.7120551583	0.256120590492
EncOCmycSig	2	17	-0.453082224404	1.84317304798	0.156830818006
TFBS	2	18	-0.322503305523	1.54669857745	0.0329647924096
TFBSPeaks	2	19	-0.318742445361	1.53257960883	0.0339421685291
TFBSPeaksMax	2	20	-0.306425028463	1.47044566466	0.0956250489948
cHmmTSSOdds	2	21	-0.408568749601	1.61608924228	0.0673487920587
cHmmTxOdds	2	22	-0.251803002162	0.834624039997	0.365913576178
cHmmEnhOdds	2	23	-0.324343696918	1.16994695217	0.298992397708
cHmmZnfOdds	2	24	-0.35006101891	1.29028047314	0.119128701874
cHmmReprOdds	2	25	-0.175045426852	0.612765235718	0.688272593212
bStatistic	2	26	0.13757251223	-0.490705574457	0.854530728584
minDistTSS	2	27	-0.0692270189257	0.350993514126	0.930227545214
minDistTSE	2	28	0.0561643475867	-0.322390381818	0.923533992454
