annotation	k	lfactor_21	lfactor_22	lfactor_23
GC	1	0.600010709932	-0.209154281599	0.18498969651
CpG	2	0.666122546805	-0.139411528572	0.151078878094
EncExp	3	0.257378938626	-0.0981956703251	0.453645364515
EncH3K27Ac	4	0.386548923167	-0.0457156932028	0.257601888577
EncH3K4Me1	5	0.160985853656	-0.0885258192011	0.255724504375
EncH3K4Me3	6	0.55513598242	-0.097608736305	0.274360397983
EncOCCombPVal	7	0.838700248722	-0.412975370203	-0.0013913033771
EncOCDNasePVal	8	0.893598877458	-0.447554734567	0.00586467131527
EncOCFairePVal	9	0.489655250668	-0.20585724839	-0.0368155429465
EncOCpolIIPVal	10	0.636171043925	-0.182529320224	0.0740333741575
EncOCctcfPVal	11	0.453252040786	-0.251305218508	-0.0382149847054
EncOCmycPVal	12	0.497857682585	-0.151749782186	0.0514828667904
EncOCDNaseSig	13	0.771628553141	-0.396277776189	0.0535309354226
EncOCFaireSig	14	0.534266940661	-0.255330390607	0.0154262226963
EncOCpolIISig	15	0.701018232875	-0.248431473403	0.0948931416934
EncOCctcfSig	16	0.664206899276	-0.343800192761	0.0396617355389
EncOCmycSig	17	0.682203414033	-0.287527662397	0.080651840809
TFBS	18	0.596991456174	0.11652311332	0.00593666900316
TFBSPeaks	19	0.602727423874	0.116368669631	0.0061293403773
TFBSPeaksMax	20	0.587707885402	0.115991170123	0.0286851755068
cHmmTSSOdds	21	0.721211707883	-0.174373673708	0.449026524774
cHmmTxOdds	22	0.399264391775	-0.124762330058	0.701883461387
cHmmEnhOdds	23	0.552738935742	-0.185615520228	0.60060388335
cHmmZnfOdds	24	0.638701363753	-0.169243861373	0.653286756802
cHmmReprOdds	25	0.465825153812	-0.178346814726	0.373254282946
bStatistic	26	-0.172601527826	0.0272554042241	-0.315029254501
minDistTSS	27	0.162019385361	0.0527005791414	0.0198356129968
minDistTSE	28	-0.173991512612	-0.00256450064351	0.137060819768
